MatchRA,MatchDec,MatchID,NumImages,NumFilters,NumVisits,A_F606W,A_F775W,A_F814W,A_F850LP,W3_F110W,W3_F160W,CI
104.53989389655676,-55.94173706877195,83682778,2,2,1,26.735200881958008,,26.38719940185547,,,,1.5998147703983163
104.62316712344656,-55.93142986658984,107946086,1,1,1,,24.186899185180664,,,,,1.8868519200219047
104.66877589223466,-55.94481329786407,107614148,1,1,1,,,,,26.87849998474121,,2.9682142393929616
104.55730510510692,-55.91676384575194,107476202,2,2,1,24.54910087585449,,24.130300521850582,,,,2.0001851850085783
104.55076734401813,-55.94909259194846,107231861,2,2,1,25.5531005859375,,24.92889976501465,,,,2.018518580330743
104.60558179471396,-55.94263146040235,107180177,2,2,1,,,,,25.355600357055664,25.029600143432617,2.571287336570622
104.63442589854598,-55.93370512145706,106960908,4,4,2,24.15660095214844,,23.09119987487793,,21.692100524902344,21.372900009155277,2.810897589233506
104.641488325138,-55.93154373114731,106851236,6,5,4,26.55364990234375,26.324800491333008,26.16670036315918,,24.617700576782227,24.480600357055664,1.853339316012493
104.56267039218152,-55.94324240785067,106671314,2,2,1,23.843599319458008,,23.060199737548828,,,,1.7914351489808822
104.67261597271956,-55.966808758665614,106518173,1,1,1,,,,,26.638399124145508,,2.9078570859772817
104.67620689967497,-55.94047423003525,106474037,2,2,1,,,,,25.672399520874023,25.44359970092773,1.8432835398960723
104.5685212920403,-55.93035196651192,106417853,2,2,1,25.815000534057617,,25.606300354003903,,,,1.5174074305428398
104.68727670005624,-55.96134740180256,106167924,2,2,2,,24.35300064086914,,23.838600158691406,,,1.8387819577298703
104.60901428173491,-55.93705296275242,106091893,2,2,1,,,,,25.048900604248047,23.486799240112305,1.7564578621245142
104.64574758910348,-55.96015495476523,21936418,2,2,1,,,,,25.72260093688965,25.479799270629883,1.8318617219991007
104.63180778388244,-55.96816358606918,21980415,7,5,5,23.40920066833496,22.48730087280273,,22.265899658203125,21.845849990844727,21.56315040588379,2.262101563469339
104.67410076323463,-55.94754812145672,21997693,4,2,2,,,,,25.1919002532959,24.903499603271484,2.6020349295281653
104.58163640169045,-55.94508297385934,22001853,2,2,1,25.60280036926269,,24.96940040588379,,,,1.5298147996266682
104.5391350459737,-55.96162007413728,22064666,2,2,1,25.99220085144043,,25.933399200439453,,,,1.861527838088848
104.55170863254251,-55.95877455377427,22064901,3,3,2,24.03380012512207,,23.907699584960938,,,,2.0980556070068737
104.66013269942924,-55.93224445821176,22080679,2,2,1,,,,,22.69750022888184,22.61829948425293,3.61593820647136
104.60155936087746,-55.94143857911421,22087346,4,3,3,23.788050651550293,22.730600357055664,22.8262996673584,,,,1.810810190659982
104.5696878645592,-55.92477565826916,22115860,2,2,1,25.562700271606445,,25.69529914855957,,,,2.0830092606721102
104.62098903964032,-55.9584592852096,22132945,2,2,1,,,,,24.935800552368164,24.99139976501465,2.7840524197006022
104.62355393533932,-55.93552073506319,22191333,4,2,2,,,,,24.59355068206787,24.080050468444824,3.1041398175807395
104.64856142787616,-55.92707040079182,22219454,1,1,1,,,,,,26.3400993347168,3.010597157834181
104.64187158369678,-55.92584291608716,22238939,1,1,1,,,,,27.19230079650879,,1.8803570951734268
104.6893545792646,-55.957567296001606,22264485,1,1,1,,,,,26.855100631713867,,2.0285714949880327
104.61357485862062,-55.9492951655814,22288204,2,2,1,,,,,23.023399353027344,22.74209976196289,3.696712524270706
104.70240656748254,-55.93349844894407,22307962,3,3,3,24.7189998626709,23.728599548339844,,23.07159996032715,,,1.8981917722015087
104.62152424282748,-55.95214073071088,44474839,1,1,1,,,,,26.45509910583496,,2.7808928063937595
104.64483949742596,-55.94827706518324,44509149,2,2,1,,,,,24.77440071105957,24.1658992767334,3.852110808846284
